t,agent_id,type,x,y,v,serving_cell,snr_dB,los
143,veh3,veh,758.6722507732464,336.90445411362714,11.74830143322856,g0,5.3,0
144,ped0,ped,381.26952127843896,446.3311380110435,0.8988580358141915,g0,-0.1,0
144,ped1,ped,674.3030189494683,557.5415725007465,1.1652984617787299,g2,1.5,0
144,ped2,ped,604.4420033055809,289.94610504415965,0.8152895477728452,g0,63.4,1
144,ped3,ped,787.9476400543682,483.4153591572731,0.9558107225845256,g2,7.2,0
144,ped4,ped,528.2937816502451,527.9748823685583,0.6103916402701806,g0,1.1,0
144,veh1,veh,471.9320523176299,533.013515281001,12.9955075717334,g0,0.1,0
144,veh2,veh,747.8507316467714,514.7829052658702,8.056389128348343,g2,5.0,0
144,veh3,veh,749.8640377558654,344.69595073126845,11.759085937302233,g0,5.7,0
145,ped0,ped,381.90668240333656,446.34607077212394,0.6373410376817142,g0,-0.1,0
145,ped1,ped,675.5665546765167,557.1134451526996,1.3341642939136364,g2,1.5,0
145,ped2,ped,605.6065256907224,289.7917512790229,1.1746240713415317,g0,63.6,1
145,ped3,ped,787.5705635453052,482.23391437601737,1.2500823987287324,g2,7.2,0
145,ped4,ped,528.6591308322436,528.7626240992612,0.8692322545687461,g0,1.1,0
145,veh1,veh,458.41468335369984,532.5568474105979,13.526502321338125,g0,-0.2,0
145,veh2,veh,742.8016673441315,506.2508132569642,9.87796302735947,g2,4.7,0
145,veh3,veh,740.4212108100656,353.0866472413347,12.632366443324507,g0,6.1,0
146,ped0,ped,383.0187157994287,446.37213282827975,1.1123473967687458,g0,-0.0,0
146,ped1,ped,676.4588257936899,556.8111144318844,0.9421468974239543,g2,1.6,0
